model,fold,mae_all,mae_peak,pinball_p90,composite,window,feature_set,n_features
ridge_direct,fold2,141.38686276590607,209.99558890016283,29.183049610950363,139.52871797519194,all_history,no_weather,71
ridge_direct,fold3,124.10948702648535,230.70488799831526,36.1464789549916,138.49550570373557,all_history,no_weather,71
ridge_direct,fold4,104.46847396523279,87.53836704577198,21.285563938944442,82.75285988413687,all_history,no_weather,71
hgb_resid,fold1,178.27696056572492,408.2805615635723,79.32974098445258,227.48859694882466,all_history,no_weather,71
hgb_resid,fold2,152.16917976986875,155.7272043746745,42.29457300862657,131.26166579906206,all_history,no_weather,71
hgb_resid,fold3,124.790571914076,263.58612762313646,53.3064912619516,152.13242249636923,all_history,no_weather,71
hgb_resid,fold4,122.59422915514837,132.24130797362469,22.828861034395914,105.53527917654077,all_history,no_weather,71
xgb_resid,fold1,185.68448347137087,392.20873574649585,80.6324581208825,226.6313540838107,all_history,no_weather,71
xgb_resid,fold2,153.17841165087052,137.16252951061026,37.8173246926557,125.30142961714948,all_history,no_weather,71
xgb_resid,fold3,146.70328151328223,271.58443047018613,54.411020938136744,165.7091740853243,all_history,no_weather,71
xgb_resid,fold4,110.55702178215697,162.07114275764016,23.520742951667017,108.60400230870394,all_history,no_weather,71
xgb_direct,fold1,209.75280943371,403.948486328125,93.64723294939311,244.7903972051711,all_history,no_weather,71
xgb_direct,fold2,153.62989516485305,146.99218031939338,35.5867309860956,128.02994787546368,all_history,no_weather,71
xgb_direct,fold3,158.1987264724005,279.5531221277574,74.58113766624813,177.88152740777707,all_history,no_weather,71
xgb_direct,fold4,116.50291987827846,84.50007539636948,27.84566492353166,89.17061554275641,all_history,no_weather,71
rf_resid,fold1,262.8123214416659,431.64171807258134,180.9035623127332,297.07938860515395,all_history,no_weather,71
rf_resid,fold2,165.696153606979,134.24281520750787,57.39059706878048,134.59904077949795,all_history,no_weather,71
rf_resid,fold3,169.49504193563277,271.36177566576873,88.42711955570898,183.8414775786888,all_history,no_weather,71
rf_resid,fold4,146.53479678437625,55.902891973479186,35.772384759908995,97.19274293621368,all_history,no_weather,71
ridge_resid,fold1,177.7999064001743,402.0958157071507,42.849242882418515,218.09854648871607,all_history,all,80
ridge_resid,fold2,146.34398200697026,233.49657344668157,33.062632479222266,149.83348953333405,all_history,all,80
ridge_resid,fold3,140.72954935624531,233.48927650388072,46.28346825399772,149.66825128008642,all_history,all,80
ridge_resid,fold4,102.63137935701714,154.32510919080073,21.419354643431205,101.89709336443502,all_history,all,80
ridge_direct,fold1,176.27215312073056,396.49362414768234,42.17679801194583,215.51952340705913,all_history,all,80
ridge_direct,fold2,144.46591931583845,229.9561161294357,32.744264240304545,147.76864734481086,all_history,all,80
