window,feature_set,model,n_features,mean_composite,mean_mae_all,mean_mae_peak,mean_pinball_p90
from_2025_09_24,core,xgb_direct,42,205.8442959326242,185.55953298296248,298.7399516386144,117.21271974779312
from_2025_09_24,no_weather,ridge_direct,71,208.46825373402027,237.02931888130905,260.98636899248953,58.288417978094444
from_2025_09_24,no_weather,ridge_resid,71,215.53953016637354,246.76437356138126,265.7651938739023,62.13892611756113
from_2025_10_01,all,xgb_direct,80,215.69168001394377,193.83643268403551,315.63163936839385,120.41985930703937
from_2025_11_01,all,xgb_direct,80,216.57348804640299,190.62076750255767,316.46301628561577,131.62099704719725
from_2025_09_24,core,ridge_direct,42,216.69716756724551,218.26702658984848,305.7902049004754,79.13296401089345
from_2025_10_01,no_weather,ridge_direct,71,220.54169998068596,241.7934908224617,287.7131857814504,66.6549941750999
from_2025_10_01,core,xgb_direct,42,222.01142935165302,195.64998940059118,326.9862913243911,130.45273627020063
from_2025_11_01,core,xgb_direct,42,223.19398561058392,187.6120891571045,340.51376163258277,136.16906271128425
from_2025_10_01,no_weather,xgb_direct,71,223.20259792189506,213.31919688270204,308.321771958295,120.23233946527755
from_2025_10_01,all,ridge_direct,80,223.95638871294466,242.28668611935706,298.0359203983577,67.01134766879417
from_2025_11_01,no_weather,xgb_direct,71,224.38867623118392,203.37464005606515,318.2337332332835,136.1561811658314
from_2025_09_24,core,ridge_resid,42,232.71164904784632,236.1951314446051,321.85982654655527,90.28067680788612
from_2025_10_01,no_weather,ridge_resid,71,233.21699430997634,257.97507649521896,297.7211346355493,74.56557835851038
from_2025_10_01,all,ridge_resid,80,236.07413517863412,258.02917589025435,307.5992565085399,73.89885140472512
from_2025_10_01,core,ridge_direct,42,249.0638250585472,246.20652542494784,356.70309646571775,94.74816703178988
from_2025_11_01,core,ridge_resid,42,249.83300098693996,266.0163545935105,308.64014628349713,121.16389902567765
from_2025_11_01,all,ridge_resid,80,253.8390568080048,291.42178970742924,286.1749632613144,111.37836487947948
from_2025_11_01,all,ridge_direct,80,261.6890776510179,292.4691403858039,302.3483275249372,123.75004600317408
from_2025_11_01,core,ridge_direct,42,262.9714117473917,271.6626709864669,335.9512205742751,131.7735504093786
from_2025_11_01,no_weather,ridge_direct,71,280.3595268380491,324.0589691634631,297.2055706730443,145.84185527202118
from_2025_10_01,core,ridge_resid,42,281.4467682836001,280.0285329368295,390.7060640022888,121.10341307249335
from_2025_11_01,no_weather,ridge_resid,71,282.1585297363189,331.9718370430279,294.2063692828014,139.5535021498226
